"SAMPLEID","INDEX_NAME","INDEX_CLASS","ni_total","pi_Cott","pi_nonnative","nt_total","nt_native","nt_nonnative","nt_natLeuc","pt_topcarn","pi_dom01","pi_dom02","nt_BCG_att123","nt_BCG2_att1234b","nt_BCG_att2","nt_BCG_att6t","pi_BCG_att123","pi_BCG_att6t","nt_ti_warm","pi_ti_cold","pi_ti_warm","pt_ti_cold","nt_repro_lithophil","d_ac_yoy_Cott","d_ac_yoy_rbt","n_ac_Cott","n_ac_rbt","n_ac_mwf","x_Obs_CatoRhin"
"BRVetMem2003","LBR_Fish_BCG_v1","Main_VetGlen",486,44.0329218106996,2.67489711934156,11,10,1,3,27.2727272727273,36.0082304526749,55.1440329218107,3,4,1,0,73.6625514403292,0,0,76.3374485596708,0,36.3636363636364,6,1,1,3,5,7,2
"BRVetMem2005","LBR_Fish_BCG_v1","Main_VetGlen",397,30.2267002518892,1.25944584382872,11,10,1,2,36.3636363636364,43.5768261964736,70.0251889168766,4,5,1,0,76.0705289672544,0,0,77.3299748110831,0,45.4545454545455,6,1,1,4,5,8,2
"BRVetMem2017","LBR_Fish_BCG_v1","Main_VetGlen",147,17.0068027210884,3.40136054421769,12,10,2,4,25,25.1700680272109,45.578231292517,3,6,1,0,40.1360544217687,0,0,42.8571428571429,0,33.3333333333333,8,1,1,4,3,2,2
"BRupstWB1995","LBR_Fish_BCG_v1","Main_SoChannel",332,0,3.01204819277108,8,6,2,2,37.5,81.6265060240964,94.2771084337349,2,3,0,1,94.2771084337349,2.10843373493976,1,95.1807228915663,2.10843373493976,37.5,3,0,1,0,5,8,2
"BRupstWB1996","LBR_Fish_BCG_v1","Main_SoChannel",293,0,9.21501706484642,6,4,2,0,50,73.037542662116,84.3003412969283,2,2,0,0,76.1092150170648,0,1,76.7918088737201,8.53242320819113,50,2,0,1,0,4,8,1
"BRupstWB2003","LBR_Fish_BCG_v1","Main_SoChannel",658,0,3.34346504559271,10,8,2,2,40,67.7811550151976,84.9544072948328,2,4,0,0,84.9544072948328,0,1,87.6899696048632,0.60790273556231,30,3,0,1,0,5,8,2
"BRupstWB2017","LBR_Fish_BCG_v1","Main_SoChannel",112,8.92857142857143,3.57142857142857,8,6,2,2,37.5,44.6428571428571,60.7142857142857,2,4,0,0,54.4642857142857,0,0,57.1428571428571,0,37.5,5,1,1,1,4,6,2
"c114e631-92cb-4abf-b6ea-033087bf9976","LBR_Fish_BCG_v1","Main_VetGlen",147,49.6598639455782,0.680272108843537,12,11,1,4,25,46.2585034013605,63.265306122449,3,6,1,0,67.3469387755102,0,0,68.0272108843537,0,33.3333333333333,7,1,1,3,4,7,2
"cf1764a0-4741-4b76-ba53-afd859933eac","LBR_Fish_BCG_v1","Main_VetGlen",151,36.4238410596027,0.662251655629139,8,7,1,2,25,33.112582781457,56.2913907284768,3,5,1,0,60.2649006622517,0,0,60.9271523178808,0,50,6,1,1,3,3,6,2
"d431fc87-f222-499f-90cc-d7a26a249ad1","LBR_Fish_BCG_v1","Main_VetGlen",116,16.3793103448276,1.72413793103448,11,9,2,4,18.1818181818182,42.2413793103448,56.8965517241379,3,6,1,1,28.448275862069,0.862068965517241,1,29.3103448275862,0.862068965517241,36.3636363636364,8,1,1,3,5,3,2
"d4f42475-7110-4ef6-bc63-33b82f0712cf","LBR_Fish_BCG_v1","Main_Eckert",76,46.0526315789474,2.63157894736842,8,7,1,2,25,34.2105263157895,55.2631578947368,3,4,1,0,75,0,0,43.4210526315789,0,50,6,1,1,3,5,3,2
"d9a2f57f-d705-4b59-adb9-a265242a28da","LBR_Fish_BCG_v1","Main_Middleton",144,0,4.86111111111111,12,8,4,4,33.3333333333333,29.8611111111111,59.7222222222222,2,4,0,2,30.5555555555556,2.08333333333333,3,31.9444444444444,3.47222222222222,25,4,0,0,0,1,7,2
"e081294e-0e46-4b4d-becb-8db4910fab7e","LBR_Fish_BCG_v1","Main_SoChannel",70,7.14285714285714,4.28571428571429,9,8,1,4,33.3333333333333,34.2857142857143,65.7142857142857,2,5,0,0,35.7142857142857,0,0,40,0,33.3333333333333,6,1,1,2,1,5,2
"e30ce930-9753-439b-9aea-6e2c97268482","LBR_Fish_BCG_v1","Main_BarberPool",473,61.5221987315011,0.422832980972516,10,8,2,2,20,60.0422832980973,78.6469344608879,4,5,1,0,93.8689217758985,0,0,93.8689217758985,0,40,6,1,1,4,5,7,2
"eda15134-49a2-4d77-9191-ebd1876acccd","LBR_Fish_BCG_v1","Main_SoChannel",48,25,2.08333333333333,7,6,1,1,28.5714285714286,25,50,2,5,0,0,50,0,0,52.0833333333333,0,42.8571428571429,4,1,1,3,6,4,2
"f9c06310-4a52-4d24-b9cf-e57497da794f","LBR_Fish_BCG_v1","Main_SoChannel",95,6.31578947368421,5.26315789473684,10,7,3,1,30,45.2631578947368,66.3157894736842,3,5,1,0,67.3684210526316,0,1,69.4736842105263,2.10526315789474,40,5,1,1,2,5,8,2
"fe6b180a-ec70-417f-b7a5-4ac38018636a","LBR_Fish_BCG_v1","Main_VetGlen",386,38.6010362694301,0.259067357512953,12,11,1,4,25,36.7875647668394,57.2538860103627,3,6,1,0,47.9274611398964,0,0,48.1865284974093,0,33.3333333333333,7,1,1,3,4,5,2
