"INDEX_NAME","INDEX_CLASS","METRIC_NAME","SAMPLEID","METRIC_VALUE","LEVEL","NUMERIC_RULES","SYMBOL","LOWER","UPPER","INCREASE","DESCRIPTION","RULE_TYPE","EXC_RULE","NOTE_RULE","INCLUDE_PARAMETER","INCLUDE_SYMBOL","INCLUDE_THRESHOLD","SITE_TYPE","INDEX_REGION","MEMBERSHIP","NAME_WIDE"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem2003",4,2,"> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem2003",4,3,"> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0.666666666666667,"Main_VetGlen_L3_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem2003",4,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem2005",5,2,"> 6 (5-8)",">",5,8,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem2005",5,3,"> 3 (2-5)",">",2,5,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L3_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_BCG2_att1234b","BRVetMem2005",5,4,"> 1 (0.5-2)",">",0.5,2,TRUE,"number of taxa - BCG Attribute I + II + III + IV_better","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_BCG2_att1234b"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen1995",8,2,"> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen1995",8,5,"> 3 (1-4)",">",1,4,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L5_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen1995",8,4,"> 5 (4-7)",">",4,7,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRGlen1995",8,3,"> 8 (7-10)",">",7,10,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0.333333333333333,"Main_VetGlen_L3_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRVetMem2005",10,2,"> 12 (11-14)",">",11,14,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",0,"Main_VetGlen_L2_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRVetMem2005",10,5,"> 3 (1-4)",">",1,4,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L5_Rule0_nt_native"
"LBR_Fish_BCG_v1","Main_VetGlen","nt_native","BRVetMem2005",10,4,"> 5 (4-7)",">",4,7,TRUE,"number of native taxa","Rule0",NA,NA,NA,NA,NA,"Main_VetGlen","Main_VetGlen",1,"Main_VetGlen_L4_Rule0_nt_native"
